Date,rfr,t,n,Underlying,f(0)_30,f(0)_60,f(1)_30,f(1)_60,f(x)_30,f(x)_60,implied_vola,K,d1,d2,N_d1,N_d2,Call_price
2009-08-14,0.001663,38,321,28.3,1.0251810000000001,0.8551019,0.8728581,0.7562631000000001,0.99471642,0.83533414,0.9522144786666666,25.0,0.5560232768273369,0.2466553203035541,0.7109025287646799,0.5974125062441208,5.185850406032118
2009-08-17,0.001674,37,322,29.9,1.080593,0.8560080999999999,0.936325,0.7684430999999999,1.0517394,0.8384950999999999,1.0019823966666666,25.0,0.7183355855535538,0.39711031517159956,0.7637248032297739,0.6543569431867842,6.479262347594499
2009-08-18,0.0017749999999999999,36,323,29.25,1.047283,0.8520169,0.914315,0.7642738,1.0206894,0.83446828,0.9834451759999999,25.0,0.6609141908532041,0.3499215198466881,0.7456663275672545,0.6368012018512386,5.893535589619059
2009-08-19,0.001572,60,324,30.55,0.9782481,0.8299619,0.8290763,0.7444,0.94841374,0.81284952,0.81284952,25.0,0.7708769586758961,0.43903253173152446,0.7796100671696288,0.6696810178054489,7.079447942992946
2009-08-20,0.0015210000000000002,59,325,30.1,1.019966,0.8730969000000001,0.84946,0.7820019,0.9858648,0.8548779000000001,0.8592441300000001,25.0,0.7083473595131838,0.36049790284555205,0.7606352132165097,0.6407625876805678,6.880047880498676
2009-08-21,0.001562,58,326,30.0,1.015122,0.8782169000000001,0.8593550000000001,0.7951663000000001,0.9839686000000001,0.8616067800000001,0.8697642346666667,25.0,0.6975209748805629,0.34840936511424414,0.7572615911957377,0.6362336148647303,6.816009653728857
2009-08-24,0.0015210000000000002,57,327,29.9,1.031917,0.8830231000000001,0.8815513,0.7921313000000001,1.00184386,0.8648447400000001,0.8785446520000001,25.0,0.6874696305249158,0.3378868624808966,0.754106583938943,0.6322757759230875,6.744698698703715
2009-08-25,0.001552,56,328,30.05,1.00896,0.8638849999999999,0.8793931,0.7847012999999999,0.9830466200000001,0.8480482599999999,0.8660480413333332,25.0,0.7101379907821467,0.36856403688046985,0.761190715275243,0.6437736471971464,6.783324876716158
2009-08-26,0.00145,55,329,30.4,1.0079470000000001,0.87724,0.8835938,0.7946662000000001,0.9830763600000001,0.8607252400000001,0.8811170933333334,25.0,0.740690504243945,0.39629004584223837,0.7705594408933971,0.6540544651517625,7.077267253982193
2009-08-27,0.0014000000000000002,54,330,30.25,0.98848,0.8592081,0.8580019,0.7838487000000001,0.96238438,0.84413622,0.867785852,25.0,0.7358380137870462,0.39974599850000475,0.7690853579962404,0.6553281956912093,6.885067298909039
2009-08-28,0.001369,53,331,30.5,0.9543138,0.8539381,0.8365169,0.7715519000000001,0.93075442,0.8374608600000001,0.8592293573333334,25.0,0.7686113632461613,0.4389289416025648,0.7789379711415562,0.6696434873980706,7.019894714485432
2009-08-31,0.001268,52,332,30.95,1.035336,0.8579469000000001,0.89373,0.7843669,1.0070148,0.8432309,0.8869066066666667,25.0,0.8024607844652788,0.4653844120388118,0.7888567679449265,0.6791719024788055,7.438928973827231
2009-09-01,0.001288,51,333,32.25,1.0294020000000002,0.881185,0.8926831,0.795475,1.00205822,0.864043,0.9054475660000001,25.0,0.9181282621419811,0.5773301790685808,0.8207241398880145,0.7181417847546367,8.518084517108765
2009-09-02,0.001288,50,334,32.65,0.9757163,0.8641831000000001,0.8503512999999999,0.7814181000000001,0.9506433,0.8476301,0.8819678333333334,25.0,0.9771105741778214,0.6484205692942319,0.835742793324154,0.7416435150064146,8.749230824830878
2009-09-03,0.001217,49,335,31.25,0.9538419,0.8642088,0.8392138,0.7735219,0.93091628,0.84607142,0.877181202,25.0,0.8518443070273534,0.528223746476858,0.8028497444142574,0.7013279752295429,7.558759217447594
2009-09-04,0.001258,48,336,30.45,0.9615931000000001,0.8820163,0.8458838,0.7864312999999999,0.93845124,0.8628992999999999,0.893120076,25.0,0.7682890858303593,0.4421677443730736,0.7788422713322709,0.6708160873206632,6.948157698610558
2009-09-08,0.001217,47,337,29.45,0.8694269,0.8928369,0.8015918999999999,0.7921831,0.8558599,0.87270614,0.8654061026666667,25.0,0.6807493840908146,0.36805676363709366,0.7519849587738139,0.6435845454940325,6.058899611599372
2009-09-09,0.001349,46,338,28.6,0.8365063,0.8810237999999999,0.7681530999999999,0.7727531000000001,0.82283566,0.8593696599999999,0.8423204599999999,25.0,0.5979244485607137,0.2968284282661898,0.7250548271131485,0.6167012497711656,5.3216941362475705
